,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Pass Com,Pass Att,Pass Yds,Pass TD,Int,Pass_Yds/Att,Pass_Com/G,Pass_Yds/G,Pass_TD/G,Int/G
0,A.J. Augustine,FCS,Big South,N,VMI,N,Undrafted,11,93,158,1149,9,7,7.3,8.5,104.5,0.8,0.6
1,A.J. Doyle,FBS,MAC,N,Massachusetts,N,Undrafted,11,128,235,1274,6,11,5.4,11.6,115.8,0.5,1.0
2,A.J. McCarron,FBS,SEC,Y,Alabama,Y,9.0,13,226,336,3063,28,7,9.1,17.4,235.6,2.2,0.5
3,A.J. Schurr,FBS,FBS Independent,N,Army West Point,N,Undrafted,10,12,28,242,1,1,8.6,1.2,24.2,0.1,0.1
4,AJ Bush,FBS,Big Ten,Y,Illinois,N,Undrafted,10,117,217,1413,6,10,6.5,11.7,141.3,0.6,1.0
5,AJ Erdely,FBS,CUSA,N,UAB,N,Undrafted,22,316,536,3870,23,11,7.2,14.4,175.9,1.0,0.5
6,AJ Swann,FBS,SEC,Y,Vanderbilt,N,Undrafted,15,222,394,2731,22,9,6.9,14.8,182.1,1.5,0.6
7,Aaron Allen,FCS,SWAC,N,Alcorn,N,Undrafted,20,313,494,3710,22,13,7.5,15.6,185.5,1.1,0.6
8,Aaron Bailey,FCS,MVFC,N,UNI,N,Undrafted,14,121,220,1656,13,6,7.5,8.6,118.3,0.9,0.4
9,Aaron Cantu,FCS,Big Sky,N,Southern Utah,N,Undrafted,12,213,329,2052,10,12,6.2,17.8,171.0,0.8,1.0
10,Aaron Miller,FCS,SoCon,N,The Citadel,N,Undrafted,12,63,142,932,7,1,6.6,5.2,77.7,0.6,0.1
11,Aaron Murray,FBS,SEC,Y,Georgia,Y,8.0,11,225,347,3075,26,9,8.9,20.5,279.5,2.4,0.8
12,Aaron Winchester,FCS,NEC,N,Central Conn. St.,N,Undrafted,13,175,271,2570,20,5,9.5,13.5,197.7,1.5,0.4
13,Aaron Zwahlen,FCS,Big Sky,N,Southern Utah,N,Undrafted,9,34,61,300,1,3,4.9,3.8,33.3,0.1,0.3
14,Adam Kennedy,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,13,218,315,2363,11,6,7.5,16.8,181.8,0.8,0.5
15,Adam Riese,FCS,CAA,N,New Hampshire,N,Undrafted,21,124,198,1372,12,8,6.9,5.9,65.3,0.6,0.4
16,Addison Shoup,FCS,Patriot,N,Lehigh,N,Undrafted,11,18,27,239,2,2,8.9,1.6,21.7,0.2,0.2
17,Adrian Kollock,FCS,MEAC,N,South Carolina St.,N,Undrafted,21,127,239,1552,8,7,6.5,6.0,73.9,0.4,0.3
18,Adrian Martinez,FBS,Big 12,Y,Kansas St.,N,Undrafted,49,788,1239,9752,51,31,7.9,16.1,199.0,1.0,0.6
19,Aidan Bouman,FCS,MVFC,N,South Dakota,N,Undrafted,13,187,280,2551,15,6,9.1,14.4,196.2,1.2,0.5
20,Aidan Gilman,FCS,Ivy League,N,Brown,N,Undrafted,10,67,113,557,2,6,4.9,6.7,55.7,0.2,0.6
21,Aidan O'Connell,FBS,Big Ten,Y,Purdue,Y,8.0,33,826,1238,9219,65,30,7.4,25.0,279.4,2.0,0.9
22,Aidan Sayin,FCS,Ivy League,N,Penn,N,Undrafted,20,529,819,5135,34,19,6.3,26.4,256.8,1.7,1.0
23,Akevious Williams,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,30,302,535,3648,24,18,6.8,10.1,121.6,0.8,0.6
24,Al Cobb,FCS,SoCon,N,VMI,N,Undrafted,31,703,1134,7727,43,35,6.8,22.7,249.3,1.4,1.1
25,Alan Bowman,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,30,681,1060,7700,42,28,7.3,22.7,256.7,1.4,0.9
26,Aldon Clark,FCS,SWAC,N,Grambling,N,Undrafted,9,23,52,195,1,2,3.8,2.6,21.7,0.1,0.2
27,Alejandro Bennifield,FCS,SoCon,N,Chattanooga,N,Undrafted,25,218,339,2760,28,7,8.1,8.7,110.4,1.1,0.3
28,Alek Torgersen,FCS,Ivy League,N,Penn,N,Undrafted,29,621,953,6916,50,18,7.3,21.4,238.5,1.7,0.6
29,Alex Flinn,FBS,AAC,N,East Carolina,N,Undrafted,12,159,290,1558,6,12,5.4,13.2,129.8,0.5,1.0
30,Alex Hornibrook,FBS,Big Ten,Y,Wisconsin,N,Undrafted,36,426,704,5438,47,33,7.7,11.8,151.1,1.3,0.9
31,Alex Jeske,FCS,Pioneer,N,Dayton,N,Undrafted,23,343,592,3988,25,16,6.7,14.9,173.4,1.1,0.7
32,Alex Kuresa,FCS,Big Sky,N,Portland St.,N,Undrafted,23,268,483,4105,29,18,8.5,11.7,178.5,1.3,0.8
33,Alex McGough,FBS,CUSA,N,FIU,Y,12.0,46,806,1335,9091,65,37,6.8,17.5,197.6,1.4,0.8
34,Alex Piccirilli,FCS,Pioneer,N,Stetson,N,Undrafted,12,131,241,1306,7,14,5.4,10.9,108.8,0.6,1.2
35,Alex Ross,FCS,Big South,N,Coastal Carolina,N,Undrafted,40,734,1126,9491,67,23,8.4,18.4,237.3,1.7,0.6
36,Alex Thomson,FCS,NEC,N,Wagner,N,Undrafted,22,274,498,3515,24,11,7.1,12.5,159.8,1.1,0.5
37,Allan Bridgford,FBS,CUSA,N,Southern Miss.,N,Undrafted,6,112,207,1133,6,11,5.5,18.7,188.8,1.0,1.8
38,Ammon Olsen,FCS,Big Sky,N,Southern Utah,N,Undrafted,24,532,870,6388,47,19,7.3,22.2,266.2,2.0,0.8
39,Anders Hill,FCS,Ivy League,N,Columbia,N,Undrafted,28,371,641,4283,27,20,6.7,13.2,153.0,1.0,0.7
40,Andre Nunez,FBS,Sun Belt,N,Louisiana,N,Undrafted,14,182,287,2272,20,12,7.9,13.0,162.3,1.4,0.9
41,Andrew Allen,FCS,Southland,N,Lamar University,N,Undrafted,9,71,133,883,1,3,6.6,7.9,98.1,0.1,0.3
42,Andrew Body,FCS,SWAC,N,Texas Southern,N,Undrafted,21,286,499,3817,24,10,7.6,13.6,181.8,1.1,0.5
