,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rush,Rush Yds,Rush TD,Rush Yds/Att,Rush Yds/G,Rush TD/G
0,A.J. Carter,FCS,Southland,N,McNeese,N,Undrafted,4,31,156,2,5.0,39.0,0.5
1,A.J. Davis,FBS,ACC,Y,Pittsburgh,N,Undrafted,12,127,530,4,4.2,44.2,0.3
2,A.J. Hines,FCS,NEC,N,Duquesne,N,Undrafted,41,881,4629,44,5.3,112.9,1.1
3,A.J. Ouellette,FBS,MAC,N,Ohio,N,Undrafted,39,556,2999,25,5.4,76.9,0.6
4,A.J. Turner,FBS,SEC,Y,South Carolina,N,Undrafted,13,98,531,3,5.4,40.8,0.2
5,A.J. Walker,FCS,Southland,N,Lamar University,N,Undrafted,12,146,623,2,4.3,51.9,0.2
6,AJ Deinhart,FCS,Pioneer,N,Butler,N,Undrafted,11,101,496,3,4.9,45.1,0.3
7,AJ Dillon,FBS,ACC,Y,Boston College,Y,6.0,36,845,4382,38,5.2,121.7,1.1
8,Aaron Dawson,FCS,Pioneer,N,Valparaiso,N,Undrafted,34,442,2500,25,5.7,73.5,0.7
9,Aaron Duckworth,FBS,Sun Belt,N,Idaho,N,Undrafted,25,337,1697,9,5.0,67.9,0.4
10,Aaron Dumas,FBS,Mountain West,N,New Mexico,N,Undrafted,11,136,658,2,4.8,59.8,0.2
11,Aaron Dykes,FCS,CAA,N,Richmond,N,Undrafted,28,347,1506,13,4.3,53.8,0.5
12,Aaron Forbes,FCS,CAA,N,Villanova,N,Undrafted,35,404,2195,17,5.4,62.7,0.5
13,Aaron Green,FBS,Big 12,Y,TCU,N,Undrafted,26,373,2194,20,5.9,84.4,0.8
14,Aaron Jones,FBS,CUSA,N,UTEP,Y,19.0,33,626,3905,32,6.2,118.3,1.0
15,Aaron Kemper,FBS,FBS Independent,N,Army West Point,N,Undrafted,11,101,544,3,5.4,49.5,0.3
16,Aaron Savage,FCS,MEAC,N,Norfolk St.,N,Undrafted,11,94,427,3,4.5,38.8,0.3
