,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rec,Rec Yds,Rec TD,Rec Yds/Rec,Rec Yds/G,Rec TD/G
0,A.C. Leonard,FCS,OVC,N,Tennessee St.,N,Undrafted,12,34,441,5,13.0,36.8,0.4
1,AJ Barner,FBS,Big Ten,Y,Michigan,Y,7.0,37,64,610,5,9.5,16.5,0.1
2,Adam Breneman,FBS,FBS Independent,N,Massachusetts,N,Undrafted,23,134,1572,12,11.7,68.3,0.5
3,Adam Trautman,FCS,Pioneer,N,Dayton,Y,5.0,33,154,2057,28,13.4,62.3,0.8
4,Aidan Twombly,FCS,SoCon,N,VMI,N,Undrafted,11,38,558,3,14.7,50.7,0.3
5,Albert Okwuegbunam,FBS,SEC,Y,Missouri,Y,7.0,33,98,1187,23,12.1,36.0,0.7
6,Alex Bayer,FBS,MAC,N,Bowling Green,N,Undrafted,14,37,593,4,16.0,42.4,0.3
7,Alizé Mack,FBS,FBS Independent,N,Notre Dame,Y,15.0,12,36,360,3,10.0,30.0,0.2
8,Andrew Marks,FCS,Ivy League,N,Brown,N,Undrafted,10,22,283,4,12.9,28.3,0.4
9,Andrew Ogletree,FCS,MVFC,N,Youngstown St.,Y,14.0,17,40,391,0,9.8,23.0,0.0
10,Andrew Robustelli,FCS,Pioneer,N,Jacksonville,N,Undrafted,22,90,1723,20,19.1,78.3,0.9
11,Andrew Vollert,FCS,Big Sky,N,Weber St.,N,Undrafted,26,123,1613,12,13.1,62.0,0.5
12,Andy Schumpert,FCS,SoCon,N,Furman,N,Undrafted,13,32,652,9,20.4,50.2,0.7
13,Anthony Firkser,FCS,Ivy League,N,Harvard,N,Undrafted,10,45,702,7,15.6,70.2,0.7
14,Arthur Lynch,FBS,SEC,Y,Georgia,Y,8.0,12,30,459,5,15.3,38.2,0.4
15,Austin Allen,FBS,Big Ten,Y,Nebraska,N,Undrafted,12,38,602,2,15.8,50.2,0.2
16,Austin Hooper,FBS,Pac-12,Y,Stanford,Y,2.0,27,74,937,8,12.7,34.7,0.3
17,Austin Seferian-Jenkins,FBS,Pac-12,Y,Washington,Y,2.0,12,36,450,8,12.5,37.5,0.7
18,Austin Stogner,FBS,Big 12,Y,Oklahoma,N,Undrafted,8,26,422,3,16.2,52.8,0.4
19,Austin Wilbers,FCS,Big Sky,N,Northern Colo.,N,Undrafted,11,30,337,1,11.2,30.6,0.1
20,Beau Sandland,FCS,Big Sky,N,Montana St.,Y,10.0,11,37,632,9,17.1,57.5,0.8
21,Ben Braunecker,FCS,Ivy League,N,Harvard,N,Undrafted,10,48,850,8,17.7,85.0,0.8
22,Ben Koyack,FBS,FBS Independent,N,Notre Dame,Y,16.0,13,30,317,2,10.6,24.4,0.2
23,Ben McCord,FBS,MAC,N,Central Mich.,N,Undrafted,13,39,612,5,15.7,47.1,0.4
24,Ben Sinnott,FBS,Big 12,Y,Kansas St.,Y,2.0,12,49,676,6,13.8,56.3,0.5
25,Benjamin Yurosek,FBS,Pac-12,Y,Stanford,N,Undrafted,11,43,658,3,15.3,59.8,0.3
26,Billy Freeman,FBS,Mountain West,N,San Jose St.,N,Undrafted,25,75,1013,8,13.5,40.5,0.3
27,Blake Bell,FBS,Big 12,Y,Oklahoma,Y,6.0,12,16,214,4,13.4,17.8,0.3
28,Blake Mack,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,25,82,1270,10,15.5,50.8,0.4
29,Bradley Miller,FBS,Sun Belt,N,Texas St.,N,Undrafted,12,24,311,0,13.0,25.9,0.0
30,Brandon Hall,FCS,Patriot,N,Lafayette,N,Undrafted,11,29,489,1,16.9,44.5,0.1
31,Bransen Schwebel,FCS,Southland,N,Southeastern La.,N,Undrafted,13,50,609,4,12.2,46.8,0.3
32,Brant Kuithe,FBS,Pac-12,Y,Utah,N,Undrafted,28,84,1213,12,14.4,43.3,0.4
