,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rec,Rec Yds,Rec TD,Rec Yds/Rec,Rec Yds/G,Rec TD/G
0,A.J. Brown,FBS,SEC,Y,Ole Miss,Y,4.0,24,160,2572,17,16.1,107.2,0.7
1,A.J. Coney,FBS,MAC,N,Akron,N,Undrafted,14,43,551,3,12.8,39.4,0.2
2,A.J. Johnson,FCS,MVFC,N,Indiana St.,N,Undrafted,12,48,633,4,13.2,52.8,0.3
3,A.J. Richardson,FBS,Mountain West,N,Boise St.,N,Undrafted,13,54,825,8,15.3,63.5,0.6
4,A.J. Toney,FCS,SoCon,N,Samford,N,Undrafted,7,41,437,1,10.7,62.4,0.1
5,A.T. Perry,FBS,ACC,Y,Wake Forest,Y,22.0,27,152,2389,26,15.7,88.5,1.0
6,AJ Barber,FCS,Ivy League,N,Princeton,N,Undrafted,10,42,582,3,13.9,58.2,0.3
7,Aaren Vaughns,FBS,Mountain West,N,Utah St.,N,Undrafted,13,33,581,5,17.6,44.7,0.4
8,Aaron Alston,FCS,OVC,N,Southeast Mo. St.,N,Undrafted,19,69,943,4,13.7,49.6,0.2
9,Aaron Blockmon,FCS,Big South,N,Campbell,N,Undrafted,21,95,1614,13,17.0,76.9,0.6
10,Aaron Bradley,FBS,Mountain West,N,Nevada,N,Undrafted,10,40,474,2,11.8,47.4,0.2
11,Aaron Burbridge,FBS,Big Ten,Y,Michigan St.,Y,22.0,14,85,1258,7,14.8,89.9,0.5
12,Aaron Burks,FBS,Mountain West,N,Boise St.,N,Undrafted,11,18,309,3,17.2,28.1,0.3
13,Aaron Cephus,FBS,CUSA,N,Rice,N,Undrafted,22,65,1187,10,18.3,54.0,0.5
14,Aaron Fontes,FCS,Big Sky,N,Montana,N,Undrafted,14,48,617,5,12.9,44.1,0.4
15,Aaron Fuller,FBS,Pac-12,Y,Washington,N,Undrafted,27,117,1576,10,13.5,58.4,0.4
16,Aaron Gooch,FCS,OVC,N,Eastern Ill.,N,Undrafted,11,65,695,5,10.7,63.2,0.5
17,Aaron Moore,FCS,Big Sky,N,UC Davis,N,Undrafted,11,39,523,5,13.4,47.5,0.5
18,Aaron Parker,FCS,CAA,N,Rhode Island,N,Undrafted,34,193,3002,26,15.6,88.3,0.8
19,Aaron Peck,FBS,Mountain West,N,Fresno St.,N,Undrafted,11,46,630,3,13.7,57.3,0.3
20,Aaron Sanders,FCS,SoCon,N,VMI,N,Undrafted,34,218,2540,9,11.7,74.7,0.3
21,Aaron Thomas,FCS,Southland,N,SFA,N,Undrafted,24,92,1413,6,15.4,58.9,0.2
22,Abdul Janneh,FCS,NEC,N,Duquesne,N,Undrafted,11,43,579,9,13.5,52.6,0.8
23,Abdul-Fatai Ibrahim,FCS,SWAC,N,Alabama A&M,N,Undrafted,25,150,2350,22,15.7,94.0,0.9
24,Aboraa Kwarteng,FCS,NEC,N,Sacred Heart,N,Undrafted,10,43,472,1,11.0,47.2,0.1
25,Adam Anderson,FCS,MVFC,N,South Dakota St.,N,Undrafted,13,47,718,7,15.3,55.2,0.5
26,Adam Drake,FCS,OVC,N,Eastern Ill.,N,Undrafted,26,178,2626,25,14.8,101.0,1.0
27,Adam Humphries,FBS,ACC,Y,Clemson,N,Undrafted,13,41,483,2,11.8,37.2,0.2
28,Adam Shapiro,FBS,FBS Independent,N,New Mexico St.,N,Undrafted,12,35,431,2,12.3,35.9,0.2
29,Adonai Mitchell,FBS,Big 12,Y,Texas,Y,11.0,14,55,845,11,15.4,60.4,0.8
30,Adonis Jennings,FBS,AAC,N,Temple,N,Undrafted,13,42,742,7,17.7,57.1,0.5
31,Adrian Coxson,FCS,CAA,N,Stony Brook,N,Undrafted,22,74,1208,9,16.3,54.9,0.4
32,Adrian Hardy,FBS,CUSA,N,Louisiana Tech,N,Undrafted,20,108,1585,10,14.7,79.2,0.5
33,Adrian Riley,FCS,Pioneer,N,Jacksonville,N,Undrafted,11,26,352,3,13.5,32.0,0.3
