Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Pass Att,Pass Com,Int,Pass TD,Pass Yds
2013,108,A.J. Augustine,VMI,N,Big South,FCS,Sr.,QB,11,158,93,7,9,1149
2013,116,A.J. Doyle,Massachusetts,N,MAC,FBS,So.,QB,11,235,128,11,6,1274
2013,30,A.J. McCarron,Alabama,Y,SEC,FBS,Sr.,QB,13,336,226,7,28,3063
2014,123,A.J. Schurr,Army West Point,N,FBS Independent,FBS,Jr.,QB,10,28,12,1,1,242
2023,37,Aaron Allen,Alcorn,N,SWAC,FCS,Sr.,QB,11,302,193,6,15,2323
2022,86,Aaron Allen,Alcorn,N,SWAC,FCS,Jr.,QB,9,192,120,7,7,1387
2015,70,Aaron Bailey,UNI,N,MVFC,FCS,Jr.,QB,14,220,121,6,13,1656
2013,59,Aaron Cantu,Southern Utah,N,Big Sky,FCS,Jr.,QB,12,329,213,12,10,2052
2014,97,Aaron Miller,The Citadel,N,SoCon,FCS,Sr.,QB,12,142,63,1,7,932
2013,28,Aaron Murray,Georgia,Y,SEC,FBS,Sr.,QB,11,347,225,9,26,3075
2019,41,Aaron Winchester,Central Conn. St.,N,NEC,FCS,Sr.,QB,13,271,175,5,20,2570
2017,129,Aaron Zwahlen,Southern Utah,N,Big Sky,FCS,So.,QB,9,61,34,3,1,300
2013,63,Adam Kennedy,Arkansas St.,N,Sun Belt,FBS,Sr.,QB,13,315,218,6,11,2363
2016,108,Adam Riese,New Hampshire,N,CAA,FCS,Sr.,QB,11,119,70,6,6,859
2015,128,Adam Riese,New Hampshire,N,CAA,FCS,Jr.,QB,10,79,54,2,6,513
2019,135,Addison Shoup,Lehigh,N,Patriot,FCS,Jr.,QB,11,27,18,2,2,239
2018,135,Adeyemi DaSilva,Villanova,N,CAA,FCS,Sr.,WR,11,8,6,0,1,117
2014,86,Adrian Kollock,South Carolina St.,N,MEAC,FCS,Fr.,QB,11,176,96,7,7,1244
2016,126,Adrian Kollock,South Carolina St.,N,MEAC,FCS,Jr.,QB,10,63,31,0,1,308
2021,43,Adrian Martinez,Nebraska,Y,Big Ten,FBS,Jr.,QB,11,306,189,10,14,2863
2018,54,Adrian Martinez,Nebraska,Y,Big Ten,FBS,Fr.,QB,11,347,224,8,17,2617
2019,92,Adrian Martinez,Nebraska,Y,Big Ten,FBS,So.,QB,10,251,149,9,10,1956
2020,101,Adrian Martinez,Nebraska,Y,Big Ten,FBS,Jr.,QB,7,151,108,3,4,1055
2022,122,Adrian Martinez,Kansas St.,Y,Big 12,FBS,Sr.,QB,10,184,118,1,6,1261
2023,28,Aidan Bouman,South Dakota,N,MVFC,FCS,So.,QB,13,280,187,6,15,2551
2023,140,Aidan Clark,Central Conn. St.,N,NEC,FCS,Jr.,K,10,1,1,0,0,27
2022,114,Aidan Gilman,Brown,N,Ivy League,FCS,Sr.,QB,10,113,67,6,2,557
2021,11,Aidan O'Connell,Purdue,Y,Big Ten,FBS,Sr.,QB,12,439,315,11,28,3712
2022,19,Aidan O'Connell,Purdue,Y,Big Ten,FBS,Sr.,QB,12,499,320,13,22,3490
2020,109,Aidan O'Connell,Purdue,Y,Big Ten,FBS,Jr.,QB,3,136,88,2,7,916
2019,125,Aidan O'Connell,Purdue,Y,Big Ten,FBS,So.,QB,6,164,103,4,8,1101
2023,17,Aidan Sayin,Penn,N,Ivy League,FCS,Jr.,QB,10,428,276,12,16,2791
2022,43,Aidan Sayin,Penn,N,Ivy League,FCS,So.,QB,10,391,253,7,18,2344
2018,107,AJ Bush,Illinois,Y,Big Ten,FBS,Sr.,QB,10,217,117,10,6,1413
2017,61,AJ Erdely,UAB,N,CUSA,FBS,Jr.,QB,13,338,205,4,16,2331
2018,102,AJ Erdely,UAB,N,CUSA,FBS,Sr.,QB,9,198,111,7,7,1539
2023,113,AJ Swann,Vanderbilt,Y,SEC,FBS,So.,QB,6,196,107,7,12,1457
2022,120,AJ Swann,Vanderbilt,Y,SEC,FBS,Fr.,QB,9,198,115,2,10,1274
2019,82,Akevious Williams,Bethune-Cookman,N,MEAC,FCS,Sr.,QB,11,269,146,6,10,1774
2018,83,Akevious Williams,Bethune-Cookman,N,MEAC,FCS,Jr.,QB,9,185,116,6,12,1435
2016,122,Akevious Williams,Bethune-Cookman,N,MEAC,FCS,Fr.,QB,10,81,40,6,2,439
2014,16,Al Cobb,VMI,N,SoCon,FCS,Fr.,QB,12,438,269,10,20,2971
2015,19,Al Cobb,VMI,N,SoCon,FCS,So.,QB,10,389,238,18,14,2736
2016,57,Al Cobb,VMI,N,SoCon,FCS,Jr.,QB,9,307,196,7,9,2020
2023,15,Alan Bowman,Oklahoma St.,Y,Big 12,FBS,Sr.,QB,14,501,304,14,15,3460
2018,52,Alan Bowman,Texas Tech,Y,Big 12,FBS,Fr.,QB,8,327,227,7,17,2638
2020,65,Alan Bowman,Texas Tech,Y,Big 12,FBS,So.,QB,8,232,150,7,10,1602
2021,123,Aldon Clark,Grambling,N,SWAC,FCS,Jr.,QB,9,52,23,2,1,195
2016,25,Alejandro Bennifield,Chattanooga,N,SoCon,FCS,Jr.,QB,13,331,213,7,26,2622
2015,144,Alejandro Bennifield,Chattanooga,N,SoCon,FCS,So.,QB,12,8,5,0,2,138
2014,26,Alek Torgersen,Penn,N,Ivy League,FCS,So.,QB,10,421,260,11,14,2689
2016,47,Alek Torgersen,Penn,N,Ivy League,FCS,Sr.,QB,10,296,198,4,17,2231
2015,50,Alek Torgersen,Penn,N,Ivy League,FCS,Jr.,QB,9,236,163,3,19,1996
2023,107,Alex Flinn,East Carolina,N,AAC,FBS,Jr.,QB,12,290,159,12,6,1558
2017,54,Alex Hornibrook,Wisconsin,Y,Big Ten,FBS,So.,QB,14,318,198,15,25,2644
2018,103,Alex Hornibrook,Wisconsin,Y,Big Ten,FBS,Jr.,QB,9,205,122,11,13,1532
2016,122,Alex Hornibrook,Wisconsin,Y,Big Ten,FBS,Fr.,QB,13,181,106,7,9,1262
