Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2013,204,A.C. Leonard,Tennessee St.,N,OVC,FCS,Jr.,TE,12,34,441,5
2018,7,A.J. Brown,Ole Miss,Y,SEC,FBS,Jr.,WR,12,85,1320,6
2017,10,A.J. Brown,Ole Miss,Y,SEC,FBS,So.,WR,12,75,1252,11
2017,186,A.J. Coney,Akron,N,MAC,FBS,Sr.,WR,14,43,551,3
2014,107,A.J. Johnson,Indiana St.,N,MVFC,FCS,Sr.,WR,12,48,633,4
2018,74,A.J. Richardson,Boise St.,N,Mountain West,FBS,Sr.,WR,13,54,825,8
2020,46,A.J. Toney,Samford,N,SoCon,FCS,So.,WR,7,41,437,1
2022,16,A.T. Perry,Wake Forest,Y,ACC,FBS,Jr.,WR,13,81,1096,11
2021,13,A.T. Perry,Wake Forest,Y,ACC,FBS,So.,WR,14,71,1293,15
2018,174,Aaren Vaughns,Utah St.,N,Mountain West,FBS,Sr.,WR,13,33,581,5
2020,121,Aaron Alston,Southeast Mo. St.,N,OVC,FCS,Jr.,WR,6,18,256,0
2019,97,Aaron Alston,Southeast Mo. St.,N,OVC,FCS,So.,WR,13,51,687,4
2018,112,Aaron Blockmon,Campbell,N,Big South,FCS,Sr.,WR,11,42,580,3
2016,15,Aaron Blockmon,Campbell,N,Pioneer,FCS,So.,WR,10,53,1034,10
2013,227,Aaron Bradley,Nevada,N,Mountain West,FBS,Jr.,WR,10,40,474,2
2015,16,Aaron Burbridge,Michigan St.,Y,Big Ten,FBS,Sr.,WR,14,85,1258,7
2013,397,Aaron Burks,Boise St.,N,Mountain West,FBS,Sr.,WR,11,18,309,3
2018,186,Aaron Cephus,Rice,N,CUSA,FBS,So.,WR,11,40,565,5
2017,146,Aaron Cephus,Rice,N,CUSA,FBS,Fr.,WR,11,25,622,5
2023,84,Aaron Fontes,Montana,N,Big Sky,FCS,Jr.,WR,14,48,617,5
2019,116,Aaron Fuller,Washington,Y,Pac-12,FBS,Sr.,WR,13,59,702,6
2018,62,Aaron Fuller,Washington,Y,Pac-12,FBS,Jr.,WR,14,58,874,4
2018,67,Aaron Gooch,Eastern Ill.,N,OVC,FCS,Sr.,WR,11,65,695,5
2017,130,Aaron Moore,UC Davis,N,Big Sky,FCS,So.,WR,11,39,523,5
2019,6,Aaron Parker,Rhode Island,N,CAA,FCS,Sr.,WR,12,81,1224,9
2018,24,Aaron Parker,Rhode Island,N,CAA,FCS,Jr.,WR,11,61,955,10
2017,41,Aaron Parker,Rhode Island,N,CAA,FCS,So.,WR,11,51,823,7
2016,158,Aaron Peck,Fresno St.,N,Mountain West,FBS,Sr.,WR,11,46,630,3
2016,59,Aaron Sanders,VMI,N,SoCon,FCS,Sr.,WR,11,76,747,3
2015,33,Aaron Sanders,VMI,N,SoCon,FCS,Jr.,WR,11,84,892,2
2014,40,Aaron Sanders,VMI,N,SoCon,FCS,So.,WR,12,58,901,4
2014,82,Aaron Thomas,SFA,N,Southland,FCS,Jr.,WR,13,52,694,2
2013,82,Aaron Thomas,SFA,N,Southland,FCS,So.,WR,11,40,719,4
2022,116,Abdul Janneh,Duquesne,N,NEC,FCS,So.,WR,11,43,579,9
2021,15,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,Jr.,WR,10,67,1008,8
2020,76,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,So.,WR,4,24,338,3
2019,25,Abdul-Fatai Ibrahim,Alabama A&M,N,SWAC,FCS,Fr.,WR,11,59,1004,11
2023,149,Aboraa Kwarteng,Sacred Heart,N,NEC,FCS,So.,WR,10,43,472,1
2018,60,Adam Anderson,South Dakota St.,N,MVFC,FCS,Jr.,WR,13,47,718,7
2017,81,Adam Breneman,Massachusetts,N,FBS Independent,FBS,Sr.,TE,11,64,764,4
2016,85,Adam Breneman,Massachusetts,N,FBS Independent,FBS,Jr.,TE,12,70,808,8
2014,5,Adam Drake,Eastern Ill.,N,OVC,FCS,Sr.,WR,12,93,1321,12
2013,5,Adam Drake,Eastern Ill.,N,OVC,FCS,Jr.,WR,14,85,1305,13
2013,222,Adam Humphries,Clemson,Y,ACC,FBS,Jr.,WR,13,41,483,2
2013,266,Adam Shapiro,New Mexico St.,N,FBS Independent,FBS,Jr.,WR,12,35,431,2
2019,45,Adam Trautman,Dayton,N,Pioneer,FCS,Sr.,TE,11,70,916,14
2018,102,Adam Trautman,Dayton,N,Pioneer,FCS,Sr.,TE,11,41,604,9
2017,122,Adam Trautman,Dayton,N,Pioneer,FCS,Jr.,TE,11,43,537,5
2023,58,Adonai Mitchell,Texas,Y,Big 12,FBS,Jr.,WR,14,55,845,11
2017,86,Adonis Jennings,Temple,N,AAC,FBS,Sr.,WR,13,42,742,7
2014,97,Adrian Coxson,Stony Brook,N,CAA,FCS,Sr.,WR,12,43,664,6
2013,145,Adrian Coxson,Stony Brook,N,CAA,FCS,Jr.,WR,10,31,544,3
2020,143,Adrian Hardy,Louisiana Tech,N,CUSA,FBS,Sr.,WR,7,33,440,4
2018,20,Adrian Hardy,Louisiana Tech,N,CUSA,FBS,So.,WR,13,75,1145,6
2013,290,Adrian Riley,Jacksonville,N,Pioneer,FCS,Sr.,WR,11,26,352,3
2014,135,Adrian Wilkins,N.C. Central,N,MEAC,FCS,Jr.,WR,11,51,560,3
2013,212,Adrian Wilkins,N.C. Central,N,MEAC,FCS,So.,WR,11,37,432,2
2021,115,Ahmad Edwards,Jacksonville St.,N,ASUN,FCS,Jr.,WR,11,45,561,5
2020,98,Ahmad Edwards,Jacksonville St.,N,OVC,FCS,So.,WR,12,17,284,3
2019,132,Ahmere Dorsey,Rhode Island,N,CAA,FCS,Sr.,WR,12,43,605,4
2016,50,Ahmmon Richards,Miami (FL),Y,ACC,FBS,Fr.,WR,13,49,934,3
2023,103,Aidan Twombly,VMI,N,SoCon,FCS,Sr.,TE,11,38,558,3
2023,74,Ainias Smith,Texas A&M,Y,SEC,FBS,Sr.,WR,12,53,795,2
2020,84,Ainias Smith,Texas A&M,Y,SEC,FBS,So.,RB,10,43,564,6
