DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2019,2,51,TEN,A.J. Brown,WR,22,2023,0,3,4,57,27,77,0,2,0,0,0,5,70,1,379,5947,42,4,,,Mississippi
2024,1,5,LAC,Joe Alt,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame
2023,6,195,NOR,A.T. Perry,WR,23,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,12,246,4,,,,Wake Forest
2024,1,7,TEN,JC Latham,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
2016,6,213,SFO,Aaron Burbridge,WR,22,2016,0,0,0,1,1,16,0,0,0,0,0,0,0,0,7,88,0,9,,,Michigan St.
2024,1,11,NYJ,Olumuyiwa Fashanu,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.
2024,1,14,NOR,Taliese Fuaga,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.
2024,1,15,IND,Laiatu Latu,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,UCLA
2024,1,16,SEA,Byron Murphy,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas
2024,1,17,MIN,Dallas Turner,LB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
2024,1,18,CIN,Amarius Mims,OL,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia
2024,1,19,LAR,Jared Verse,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.
2024,1,20,PIT,Troy Fautanu,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington
2024,1,21,MIA,Chop Robinson,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.
2024,1,22,PHI,Quinyon Mitchell,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Toledo
2024,2,52,IND,Adonai Mitchell,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Texas
2024,1,24,DET,Terrion Arnold,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
2024,1,25,GNB,Jordan Morgan,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona
2024,1,26,TAM,Graham Barton,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Duke
2024,1,27,ARI,Darius Robinson,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Missouri
2024,5,152,PHI,Ainias Smith,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M
2024,1,29,DAL,Tyler Guyton,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma
2024,1,30,BAL,Nate Wiggins,CB,21,,0,0,0,,,,,,,,,,,,,,,,,,Clemson
2022,2,53,IND,Alec Pierce,WR,22,2023,0,0,1,9,9,33,0,0,0,0,0,0,0,0,73,1107,4,,,,Cincinnati
2014,2,61,JAX,Allen Robinson,WR,21,2023,0,1,7,48,18,127,0,0,0,0,0,3,10,0,562,7028,43,2,,,Penn St.
2017,3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,1,1,16,0,0,0,0,0,0,0,0,8,71,0,2,,,Michigan
2015,1,4,OAK,Amari Cooper,WR,21,2023,0,5,8,64,22,140,0,1,0,0,1,14,41,0,667,9486,60,2,,,Alabama
2024,2,35,ATL,Ruke Orhorhoro,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson
2024,2,36,WAS,Jer'Zhan Newton,DL,22,,0,0,0,,,,,,,,,,,,,,,,,,Illinois
2021,3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson
2024,2,38,TEN,T'Vondre Sweat,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Texas
2024,2,39,LAR,Braden Fiske,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.
2024,2,40,PHI,Cooper DeJean,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Iowa
2024,2,41,NOR,Kool-Aid McKinstry,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
2024,2,42,HOU,Kamari Lassiter,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia
2024,2,43,ARI,Max Melton,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers
